2026-01-06 18:07:27 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='LONG', event_type='position_opened', ts=1767712047979, raw={'adlLevel': 0, 'autoAddIm': False, 'closeAvgPrice': 0, 'closeProfitLoss': 0, 'closeVol': 0, 'createTime': 1767712047833, 'deductFeeList': [], 'fee': 0, 'frozenVol': 0, 'holdAvgPrice': 514.27, 'holdAvgPriceFullyScale': '514.27', 'holdFee': 0, 'holdVol': 1, 'im': 0.51427, 'leverage': 10, 'liquidatePrice': 0, 'makerFeeRate': 0, 'marginRatio': 0.0044, 'newCloseAvgPrice': 0, 'newOpenAvgPrice': 514.27, 'oim': 0.51427, 'openAvgPrice': 514.27, 'openAvgPriceFullyScale': '514.27', 'openType': 2, 'pnl': -0.0005, 'positionId': 1222534764, 'positionType': 1, 'realised': 0, 'state': 1, 'symbol': 'ZEC_USDT', 'takerFeeRate': 0, 'updateTime': 1767712047833, 'version': 1})
2026-01-06 18:07:30 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='SHORT', event_type='market_filled', ts=1767712050555, raw={'bboTypeNum': 0, 'category': 1, 'createTime': 1767712050423, 'dealAvgPrice': 514.17, 'dealVol': 1, 'errorCode': 0, 'externalOid': '30c9c1ae-19c4-4e8c-8618-a9bbc688', 'feeCurrency': 'USDT', 'leverage': 10, 'makerFee': 0, 'makerFeeRate': 0, 'openType': 2, 'orderId': '763538022800218112', 'orderMargin': 0.51427, 'orderType': 5, 'positionId': 0, 'positionMode': 2, 'price': 514.17, 'profit': -0.001, 'reduceOnly': False, 'remainVol': 0, 'side': 3, 'state': 3, 'symbol': 'ZEC_USDT', 'takerFee': 0, 'takerFeeRate': 0, 'updateTime': 1767712050495, 'usedMargin': 0.51427, 'version': 2, 'vol': 1})
2026-01-06 18:07:30 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='SHORT', event_type='deal', ts=1767712050666, raw={'category': 1, 'externalOid': '30c9c1ae-19c4-4e8c-8618-a9bbc688', 'fee': 0, 'feeCurrency': 'USDT', 'id': '10522172881', 'isSelf': False, 'orderId': '763538022800218112', 'positionMode': 2, 'price': 514.17, 'profit': -0.001, 'reduceOnly': True, 'side': 3, 'symbol': 'ZEC_USDT', 'taker': True, 'timestamp': 1767712050495, 'vol': 1})
2026-01-06 18:07:30 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='LONG', event_type='position_closed', ts=1767712050666, raw={'autoAddIm': False, 'closeAvgPrice': 514.17, 'closeProfitLoss': -0.001, 'closeVol': 1, 'createTime': 1767712047833, 'deductFeeList': [], 'fee': 0, 'frozenVol': 0, 'holdAvgPrice': 514.27, 'holdAvgPriceFullyScale': '514.27', 'holdFee': 0, 'holdVol': 0, 'im': 0, 'leverage': 10, 'liquidatePrice': 0, 'makerFeeRate': 0, 'marginRatio': 0.0044, 'newCloseAvgPrice': 514.17, 'newOpenAvgPrice': 514.27, 'oim': 0, 'openAvgPrice': 514.27, 'openAvgPriceFullyScale': '514.27', 'openType': 2, 'pnl': 0, 'positionId': 1222534764, 'positionType': 1, 'realised': -0.001, 'state': 3, 'symbol': 'ZEC_USDT', 'takerFeeRate': 0, 'updateTime': 1767712050495, 'version': 2})
2026-01-06 18:07:40 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='LONG', event_type='market_filled', ts=1767712060734, raw={'bboTypeNum': 0, 'category': 1, 'createTime': 1767712060535, 'dealAvgPrice': 514.16, 'dealVol': 1, 'errorCode': 0, 'externalOid': 'd1584674-ffe8-46e6-bca7-87f0d1d8', 'feeCurrency': 'USDT', 'leverage': 10, 'makerFee': 0, 'makerFeeRate': 0, 'openType': 2, 'orderId': '763538065502427136', 'orderMargin': 0.51416, 'orderType': 5, 'positionId': 1222535148, 'positionMode': 2, 'price': 514.16, 'profit': 0, 'reduceOnly': False, 'remainVol': 0, 'side': 1, 'state': 3, 'symbol': 'ZEC_USDT', 'takerFee': 0, 'takerFeeRate': 0, 'updateTime': 1767712060673, 'usedMargin': 0.51416, 'version': 2, 'vol': 1})
2026-01-06 18:07:40 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='LONG', event_type='deal', ts=1767712060834, raw={'category': 1, 'externalOid': 'd1584674-ffe8-46e6-bca7-87f0d1d8', 'fee': 0, 'feeCurrency': 'USDT', 'id': '10522175687', 'isSelf': False, 'orderId': '763538065502427136', 'positionMode': 2, 'price': 514.16, 'profit': 0, 'reduceOnly': False, 'side': 1, 'symbol': 'ZEC_USDT', 'taker': True, 'timestamp': 1767712060673, 'vol': 1})
2026-01-06 18:07:40 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='LONG', event_type='position_opened', ts=1767712060834, raw={'adlLevel': 0, 'autoAddIm': False, 'closeAvgPrice': 0, 'closeProfitLoss': 0, 'closeVol': 0, 'createTime': 1767712060673, 'deductFeeList': [], 'fee': 0, 'frozenVol': 0, 'holdAvgPrice': 514.16, 'holdAvgPriceFullyScale': '514.16', 'holdFee': 0, 'holdVol': 1, 'im': 0.51416, 'leverage': 10, 'liquidatePrice': 0, 'makerFeeRate': 0, 'marginRatio': 0.0044, 'newCloseAvgPrice': 0, 'newOpenAvgPrice': 514.16, 'oim': 0.51416, 'openAvgPrice': 514.16, 'openAvgPriceFullyScale': '514.16', 'openType': 2, 'pnl': 0.0001, 'positionId': 1222535148, 'positionType': 1, 'realised': 0, 'state': 1, 'symbol': 'ZEC_USDT', 'takerFeeRate': 0, 'updateTime': 1767712060673, 'version': 1})
2026-01-06 18:08:44 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='SHORT', event_type='market_filled', ts=1767712124687, raw={'bboTypeNum': 0, 'category': 1, 'createTime': 1767712124554, 'dealAvgPrice': 514.99, 'dealVol': 1, 'errorCode': 0, 'externalOid': '2cef1a65-b2e5-4212-940b-72b91692', 'feeCurrency': 'USDT', 'leverage': 10, 'makerFee': 0, 'makerFeeRate': 0, 'openType': 2, 'orderId': '763538333753334272', 'orderMargin': 0.51499, 'orderType': 5, 'positionId': 0, 'positionMode': 2, 'price': 514.99, 'profit': 0.0083, 'reduceOnly': False, 'remainVol': 0, 'side': 3, 'state': 3, 'symbol': 'ZEC_USDT', 'takerFee': 0, 'takerFeeRate': 0, 'updateTime': 1767712124635, 'usedMargin': 0.51499, 'version': 2, 'vol': 1})
2026-01-06 18:08:44 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='SHORT', event_type='deal', ts=1767712124804, raw={'category': 1, 'externalOid': '2cef1a65-b2e5-4212-940b-72b91692', 'fee': 0, 'feeCurrency': 'USDT', 'id': '10522189182', 'isSelf': False, 'orderId': '763538333753334272', 'positionMode': 2, 'price': 514.99, 'profit': 0.0083, 'reduceOnly': True, 'side': 3, 'symbol': 'ZEC_USDT', 'taker': True, 'timestamp': 1767712124635, 'vol': 1})
2026-01-06 18:08:44 | DEBUG | CoreApp | RAW SIGNAL: SignalEvent(symbol='ZEC_USDT', pos_side='LONG', event_type='position_closed', ts=1767712124804, raw={'autoAddIm': False, 'closeAvgPrice': 514.99, 'closeProfitLoss': 0.0083, 'closeVol': 1, 'createTime': 1767712060673, 'deductFeeList': [], 'fee': 0, 'frozenVol': 0, 'holdAvgPrice': 514.16, 'holdAvgPriceFullyScale': '514.16', 'holdFee': 0, 'holdVol': 0, 'im': 0, 'leverage': 10, 'liquidatePrice': 0, 'makerFeeRate': 0, 'marginRatio': 0.0044, 'newCloseAvgPrice': 514.99, 'newOpenAvgPrice': 514.16, 'oim': 0, 'openAvgPrice': 514.16, 'openAvgPriceFullyScale': '514.16', 'openType': 2, 'pnl': 0, 'positionId': 1222535148, 'positionType': 1, 'realised': 0.0083, 'state': 3, 'symbol': 'ZEC_USDT', 'takerFeeRate': 0, 'updateTime': 1767712124635, 'version': 2})
